x,y,z,type
0.3872,0.05639999999999999,0.0,1
0.3872,0.05159999999999999,0.0,1
0.3872,0.046799999999999994,0.0,1
0.3872,0.041999999999999996,0.0,1
0.3872,0.0372,0.0,1
0.3872,0.0324,0.0,1
0.3872,0.027599999999999996,0.0,1
0.3872,0.022799999999999997,0.0,1
0.3872,0.018,0.0,1
0.3872,0.013199999999999998,0.0,1
0.39080000000000004,0.0096,0.0,1
0.3956,0.0084,0.0,1
0.4004,0.0084,0.0,1
0.4052,0.0084,0.0,1
0.41000000000000003,0.0084,0.0,1
0.4148,0.0084,0.0,1
0.4196,0.0084,0.0,1
0.4244,0.0084,0.0,1
0.4292,0.0084,0.0,1
0.434,0.0084,0.0,1
0.4388,0.0084,0.0,1
0.4436,0.0084,0.0,1
0.4484,0.0084,0.0,1
0.4532,0.0084,0.0,1
0.458,0.0084,0.0,1
0.4628,0.0084,0.0,1
0.4676,0.0084,0.0,1
0.4724,0.0084,0.0,1
0.4772,0.0084,0.0,1
0.482,0.0084,0.0,1
0.4868,0.0084,0.0,1
0.4916,0.0084,0.0,1
0.4964,0.0084,0.0,1
0.5012,0.0084,0.0,1
0.506,0.0084,0.0,1
0.5108,0.0084,0.0,1
0.5156,0.0072,0.0,1
0.5168,0.0024,0.0,1
0.518,-0.0024,0.0,1
0.5192,-0.0072,0.0,1
0.5204,-0.011999999999999999,0.0,1
0.5216,-0.0168,0.0,1
0.524,-0.021599999999999998,0.0,1
0.5264,-0.026399999999999996,0.0,1
0.5288,-0.0312,0.0,1
0.5324,-0.036,0.0,1
0.536,-0.040799999999999996,0.0,1
0.5408,-0.045599999999999995,0.0,1
0.5456,-0.049199999999999994,0.0,1
0.5504,-0.05279999999999999,0.0,1
0.5552,-0.05639999999999999,0.0,1
0.56,-0.0588,0.0,1
0.5648,-0.0612,0.0,1
0.5696,-0.0624,0.0,1
0.5744,-0.0648,0.0,1
0.5791999999999999,-0.06599999999999999,0.0,1
0.584,-0.0672,0.0,1
0.5888,-0.0672,0.0,1
