x,y,z,type,cmd
0.5,0.0,0.08,0,HOME
0.5,0.0,0.08,0,LIFT
0.32899999999999996,-0.018000000000000002,0.08,0,TRAVEL
0.32899999999999996,-0.018000000000000002,0.0,0,LOWER
0.32999999999999996,-0.022,0.0,1,DRAW
0.32999999999999996,-0.026000000000000002,0.0,1,DRAW
0.33099999999999996,-0.03,0.0,1,DRAW
0.33199999999999996,-0.034,0.0,1,DRAW
0.33399999999999996,-0.038,0.0,1,DRAW
0.33499999999999996,-0.042,0.0,1,DRAW
0.33599999999999997,-0.046,0.0,1,DRAW
0.33799999999999997,-0.05,0.0,1,DRAW
0.34099999999999997,-0.054,0.0,1,DRAW
0.34299999999999997,-0.058,0.0,1,DRAW
0.346,-0.062,0.0,1,DRAW
0.349,-0.066,0.0,1,DRAW
0.352,-0.07,0.0,1,DRAW
0.356,-0.074,0.0,1,DRAW
0.36,-0.078,0.0,1,DRAW
0.364,-0.081,0.0,1,DRAW
0.368,-0.084,0.0,1,DRAW
0.372,-0.08700000000000001,0.0,1,DRAW
0.376,-0.089,0.0,1,DRAW
0.38,-0.091,0.0,1,DRAW
0.384,-0.093,0.0,1,DRAW
0.388,-0.095,0.0,1,DRAW
0.392,-0.096,0.0,1,DRAW
0.396,-0.097,0.0,1,DRAW
0.4,-0.098,0.0,1,DRAW
0.404,-0.099,0.0,1,DRAW
0.40800000000000003,-0.1,0.0,1,DRAW
0.41200000000000003,-0.1,0.0,1,DRAW
0.416,-0.101,0.0,1,DRAW
0.42,-0.101,0.0,1,DRAW
0.424,-0.101,0.0,1,DRAW
0.428,-0.101,0.0,1,DRAW
0.432,-0.101,0.0,1,DRAW
0.436,-0.101,0.0,1,DRAW
0.44,-0.101,0.0,1,DRAW
0.444,-0.101,0.0,1,DRAW
0.448,-0.101,0.0,1,DRAW
0.452,-0.10300000000000001,0.0,1,DRAW
0.456,-0.105,0.0,1,DRAW
0.46,-0.107,0.0,1,DRAW
0.46399999999999997,-0.109,0.0,1,DRAW
0.46799999999999997,-0.111,0.0,1,DRAW
0.472,-0.113,0.0,1,DRAW
0.476,-0.115,0.0,1,DRAW
0.48,-0.117,0.0,1,DRAW
0.484,-0.117,0.0,1,DRAW
0.488,-0.113,0.0,1,DRAW
0.49,-0.109,0.0,1,DRAW
0.492,-0.105,0.0,1,DRAW
0.496,-0.101,0.0,1,DRAW
0.5,-0.101,0.0,1,DRAW
0.504,-0.101,0.0,1,DRAW
0.508,-0.101,0.0,1,DRAW
0.512,-0.101,0.0,1,DRAW
0.516,-0.101,0.0,1,DRAW
0.52,-0.101,0.0,1,DRAW
0.524,-0.101,0.0,1,DRAW
0.528,-0.1,0.0,1,DRAW
0.531,-0.096,0.0,1,DRAW
0.532,-0.092,0.0,1,DRAW
0.533,-0.088,0.0,1,DRAW
0.534,-0.084,0.0,1,DRAW
0.535,-0.08,0.0,1,DRAW
0.536,-0.076,0.0,1,DRAW
0.536,-0.07200000000000001,0.0,1,DRAW
0.537,-0.068,0.0,1,DRAW
0.538,-0.064,0.0,1,DRAW
0.539,-0.06,0.0,1,DRAW
0.543,-0.057,0.0,1,DRAW
0.547,-0.057,0.0,1,DRAW
0.551,-0.057,0.0,1,DRAW
0.555,-0.058,0.0,1,DRAW
0.559,-0.059000000000000004,0.0,1,DRAW
0.563,-0.059000000000000004,0.0,1,DRAW
0.567,-0.06,0.0,1,DRAW
0.571,-0.061,0.0,1,DRAW
0.575,-0.061,0.0,1,DRAW
0.579,-0.062,0.0,1,DRAW
0.583,-0.063,0.0,1,DRAW
0.587,-0.063,0.0,1,DRAW
0.591,-0.063,0.0,1,DRAW
0.594,-0.059000000000000004,0.0,1,DRAW
0.594,-0.055,0.0,1,DRAW
0.594,-0.051000000000000004,0.0,1,DRAW
0.594,-0.047,0.0,1,DRAW
