x,y,z,type,cmd,path_id
0.4412,-0.19199999999999998,0.0,1,DRAW_SEGMENT,2
0.4424,-0.19319999999999998,0.0,1,DRAW_SEGMENT,2
0.4412,-0.1944,0.0,1,DRAW_SEGMENT,2
0.4412,-0.1956,0.0,1,DRAW_SEGMENT,2
0.4424,-0.19679999999999997,0.0,1,DRAW_SEGMENT,2
0.4424,-0.19799999999999998,0.0,1,DRAW_SEGMENT,2
0.4424,-0.1992,0.0,1,DRAW_SEGMENT,2
0.4424,-0.2004,0.0,1,DRAW_SEGMENT,2
0.4424,-0.20159999999999997,0.0,1,DRAW_SEGMENT,2
0.4424,-0.20279999999999998,0.0,1,DRAW_SEGMENT,2
0.4424,-0.204,0.0,1,DRAW_SEGMENT,2
0.4436,-0.2052,0.0,1,DRAW_SEGMENT,2
0.4436,-0.20639999999999997,0.0,1,DRAW_SEGMENT,2
0.4424,-0.20759999999999998,0.0,1,DRAW_SEGMENT,2
0.4424,-0.20879999999999999,0.0,1,DRAW_SEGMENT,2
0.4436,-0.21,0.0,1,DRAW_SEGMENT,2
0.4436,-0.21119999999999997,0.0,1,DRAW_SEGMENT,2
0.4436,-0.21239999999999998,0.0,1,DRAW_SEGMENT,2
0.4436,-0.21359999999999998,0.0,1,DRAW_SEGMENT,2
0.4436,-0.2148,0.0,1,DRAW_SEGMENT,2
0.4436,-0.21599999999999997,0.0,1,DRAW_SEGMENT,2
0.4436,-0.21719999999999998,0.0,1,DRAW_SEGMENT,2
0.44480000000000003,-0.21839999999999998,0.0,1,DRAW_SEGMENT,2
0.44480000000000003,-0.2196,0.0,1,DRAW_SEGMENT,2
0.44480000000000003,-0.22079999999999997,0.0,1,DRAW_SEGMENT,2
0.44480000000000003,-0.22199999999999998,0.0,1,DRAW_SEGMENT,2
0.44480000000000003,-0.22319999999999998,0.0,1,DRAW_SEGMENT,2
0.44480000000000003,-0.2244,0.0,1,DRAW_SEGMENT,2
0.44480000000000003,-0.22559999999999997,0.0,1,DRAW_SEGMENT,2
0.44480000000000003,-0.22679999999999997,0.0,1,DRAW_SEGMENT,2
0.44480000000000003,-0.22799999999999998,0.0,1,DRAW_SEGMENT,2
0.446,-0.2292,0.0,1,DRAW_SEGMENT,2
0.446,-0.2304,0.0,1,DRAW_SEGMENT,2
0.446,-0.23159999999999997,0.0,1,DRAW_SEGMENT,2
0.446,-0.23279999999999998,0.0,1,DRAW_SEGMENT,2
0.446,-0.23399999999999999,0.0,1,DRAW_SEGMENT,2
0.446,-0.2352,0.0,1,DRAW_SEGMENT,2
0.4472,-0.23639999999999997,0.0,1,DRAW_SEGMENT,2
0.446,-0.23759999999999998,0.0,1,DRAW_SEGMENT,2
0.446,-0.23879999999999998,0.0,1,DRAW_SEGMENT,2
0.4472,-0.24,0.0,1,DRAW_SEGMENT,2
0.4472,-0.24119999999999997,0.0,1,DRAW_SEGMENT,2
0.4472,-0.24239999999999998,0.0,1,DRAW_SEGMENT,2
0.4472,-0.24359999999999998,0.0,1,DRAW_SEGMENT,2
0.4472,-0.2448,0.0,1,DRAW_SEGMENT,2
