t,x,y,z,v,accel
5.569939342155311834e+00,1.099031763108502396e-01,4.200000000000000261e-02,1.000000000000000021e-02,2.432050231088006831e-01,1.665705893369536383e+01
5.577939342155311842e+00,1.077751763108502348e-01,4.200000000000000261e-02,1.000000000000000021e-02,2.660000000000006248e-01,1.719242436872779578e+01
5.585939342155311849e+00,1.056023763108502322e-01,4.200000000000000261e-02,1.000000000000000021e-02,2.716000000000002856e-01,6.999999999999575451e-01
5.593939342155311856e+00,1.035649711574555959e-01,4.243502884254441582e-02,1.000000000000000021e-02,2.604164289209613958e-01,7.118930020167127282e+00
5.601939342155311863e+00,1.040491965644035899e-01,4.399999999999999745e-02,1.000000000000000021e-02,2.047715559624391224e-01,4.317532819014051171e+01
5.609939342155311870e+00,1.049999999999999961e-01,4.535639656440360046e-02,1.000000000000000021e-02,2.070567107199976498e-01,7.985558524138476777e+00
5.617939342155311877e+00,1.049999999999999961e-01,4.770839656440357957e-02,1.000000000000000021e-02,2.939999999999973745e-01,2.151065650530835072e+01
5.625939342155311884e+00,1.049999999999999961e-01,5.010519656440357017e-02,1.000000000000000021e-02,2.995999999999988117e-01,7.000000000001795897e-01
5.633939342155311891e+00,1.049999999999999961e-01,5.254679656440356533e-02,1.000000000000000021e-02,3.051999999999994162e-01,7.000000000000755618e-01
5.641939342155311898e+00,1.049999999999999961e-01,5.503319656440357893e-02,1.000000000000000021e-02,3.108000000000016860e-01,7.000000000002837286e-01
5.649939342155311905e+00,1.049999999999999961e-01,5.756439656440357627e-02,1.000000000000000021e-02,3.163999999999996815e-01,6.999999999997493783e-01
5.657939342155311913e+00,1.049999999999999961e-01,6.014039656440357817e-02,1.000000000000000021e-02,3.220000000000002305e-01,7.000000000000685674e-01
5.665939342155311920e+00,1.034617527474943205e-01,6.153824725250568728e-02,1.000000000000000021e-02,2.598133691971508119e-01,3.027478489326846045e+01
5.673939342155311039e+00,1.049999999999999961e-01,5.292444989141450312e-02,1.000000000000000021e-02,1.093758639878608996e+00,1.636512070037356068e+02
5.681939342155311934e+00,1.049999999999999961e-01,5.031359204754520809e-02,1.000000000000000021e-02,3.263572304836618865e-01,9.682645892908837482e+01
5.689939342155311053e+00,1.049999999999999961e-01,4.774753420367590373e-02,1.000000000000000021e-02,3.207572304836630583e-01,6.999999999998535172e-01
5.697939342155311948e+00,1.049999999999999961e-01,4.522627635980661087e-02,1.000000000000000021e-02,3.151572304836616212e-01,7.000000000001795897e-01
5.705939342155311067e+00,1.031640320783104164e-01,4.399999999999999745e-02,1.000000000000000021e-02,2.759792768514771066e-01,3.510501563090212329e+01
5.713939342155311962e+00,1.032676257655588958e-01,4.200000000000000261e-02,1.000000000000000021e-02,2.503351394892241455e-01,3.262800627560052646e+01
5.721939342155311081e+00,1.056544836094281820e-01,4.200000000000000261e-02,1.000000000000000021e-02,2.983572304836607514e-01,4.742720369801093483e+01
5.729939342155311977e+00,1.079965414532974843e-01,4.200000000000000261e-02,1.000000000000000021e-02,2.927572304836628114e-01,6.999999999997424949e-01
5.737939342155311095e+00,1.102077474753344749e-01,4.179225252466552132e-02,1.000000000000000021e-02,2.776179671948176830e-01,3.836286350757881713e+00
5.745939342155311991e+00,1.121320435786629932e-01,4.100000000000000172e-02,1.000000000000000021e-02,2.601255573073141258e-01,1.017382438773906372e+01
5.753939342155311110e+00,1.142402051794512846e-01,4.124020517945128916e-02,1.000000000000000021e-02,2.652252540080753396e-01,1.638596537635208250e+01
5.761939342155312005e+00,1.160883457040284977e-01,4.200000000000000261e-02,1.000000000000000021e-02,2.497783882738978389e-01,9.078439043752117854e+00
5.769939342155311124e+00,1.181459493483794920e-01,4.214594934837948004e-02,1.000000000000000021e-02,2.578466710548055763e-01,1.013436418641543391e+01
5.777939342155311131e+00,1.198654478293939563e-01,4.300000000000000350e-02,1.000000000000000021e-02,2.399895030824424624e-01,1.226062355361501588e+01
