t,x,y,z,v,accel
2.422148341796612758e-01,6.705018759107186921e-02,4.280688174049232519e-02,1.000000000000000021e-02,1.674826963169126770e-01,1.168791331994590088e+01
2.481225130620920150e-01,6.732840485237807926e-02,4.193880975048551452e-02,1.000000000000000021e-02,1.543020033507546407e-01,1.101050410015731273e+01
2.540301919445228096e-01,6.809055126975216421e-02,4.123369331214417344e-02,1.000000000000000021e-02,1.757534467523167998e-01,1.463092164887235214e+01
2.599378708269535765e-01,6.896174864738274790e-02,4.136568897486241070e-02,1.000000000000000021e-02,1.491516435446014199e-01,2.418822567690936509e+01
2.658455497093842879e-01,6.989760996915968250e-02,4.191892622787686540e-02,1.000000000000000021e-02,1.840241971877185911e-01,1.221110967100875300e+01
2.717532285918150547e-01,7.100042895381893093e-02,4.197642481889481136e-02,1.000000000000000021e-02,1.869290655953130542e-01,1.498819823946549157e+01
2.776609074742458216e-01,7.213614651024312374e-02,4.200000000000000261e-02,1.000000000000000021e-02,1.922857079788997114e-01,1.354009347817947351e+00
2.835685863566765885e-01,7.329659378035890960e-02,4.200000000000000261e-02,1.000000000000000021e-02,1.964303228408226520e-01,9.789632577285624082e-01
2.894762652391073554e-01,7.439630410740277755e-02,4.170527436218481737e-02,1.000000000000000021e-02,1.927185343966880404e-01,8.622152269614316467e+00
2.953839441215381223e-01,7.541921173799037703e-02,4.106022682847128985e-02,1.000000000000000021e-02,2.047010732762264695e-01,1.027607789043361741e+01
3.012916230039688892e-01,7.640358068269129110e-02,4.164188132766664940e-02,1.000000000000000021e-02,1.935403149315428062e-01,3.516572222688112248e+01
3.071993018863996561e-01,7.637953187288139267e-02,4.175881898170881457e-02,1.000000000000000021e-02,2.020843157301446119e-02,3.181445944607793308e+01
3.131069807688304230e-01,7.532681769134683125e-02,4.127052530090270094e-02,1.000000000000000021e-02,1.964303228408215141e-01,3.419723349208885566e+01
3.190146596512611898e-01,7.431694970614112494e-02,4.169317536564285526e-02,1.000000000000000021e-02,1.853088048438590318e-01,2.612989461485144815e+01
3.249223385336919567e-01,7.328048550312921128e-02,4.200000000000000261e-02,1.000000000000000021e-02,1.829695339733469206e-01,3.405085436657671938e+00
3.308300174161227236e-01,7.219332963954705473e-02,4.200000000000000261e-02,1.000000000000000021e-02,1.840241971877179250e-01,8.910543136219340354e+00
3.367376962985534905e-01,7.113357957356304662e-02,4.194045521712154445e-02,1.000000000000000021e-02,1.796681247004320858e-01,1.878156067990168321e+00
3.426453751809842019e-01,7.010045654889600353e-02,4.183695077741914070e-02,1.000000000000000021e-02,1.757534467523157728e-01,1.472609160977832454e+00
3.485530540634149688e-01,6.909521819401749643e-02,4.170635532871094092e-02,1.000000000000000021e-02,1.715878651238464114e-01,1.113953578472238526e+00
3.544607329458457357e-01,6.819799761588718479e-02,4.180792890310509186e-02,1.000000000000000021e-02,1.528437513320299312e-01,7.337021783144967557e+00
3.603684118282765025e-01,6.752590551370338257e-02,4.250040561647405735e-02,1.000000000000000021e-02,1.633473210992118230e-01,1.811817440243135025e+01
3.662760907107072694e-01,6.717309370464186191e-02,4.317309370464186141e-02,1.000000000000000021e-02,1.285776680604038824e-01,9.165811013856083989e+00
3.721837695931380363e-01,6.782090433667473106e-02,4.382090433667472362e-02,1.000000000000000021e-02,1.550765706638086994e-01,2.867943942368249921e+01
