t,x,y,z,v,accel
3.662759361905368660e+00,8.899999999999999578e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.682759361905368678e+00,8.899999999999999578e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.702759361905368696e+00,8.899999999999999578e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.722759361905368714e+00,8.899999999999999578e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.742759361905368731e+00,8.899999999999999578e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.762759361905368749e+00,8.899999999999999578e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.782759361905368323e+00,8.899999999999999578e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.802759361905368785e+00,8.899999999999999578e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.822759361905368358e+00,8.899999999999999578e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.841818147274323358e+00,8.899999999999999578e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.861818147274323376e+00,8.899999999999999578e-02,6.199999999999999956e-02,5.000000000000000278e-02,2.000000000000000000e+00,1.000000000000000000e+02
3.881818147274323394e+00,8.891055728089999888e-02,6.217888543819997949e-02,5.000000000000000278e-02,9.999999999999974187e-03,1.000012499921875957e+02
3.901818147274323412e+00,8.864222912360003592e-02,6.271554175279993315e-02,5.000000000000000278e-02,2.999999999999991909e-02,9.999999999999973355e-01
3.921818147274323429e+00,8.799999999999999489e-02,6.400000000000000133e-02,5.000000000000000278e-02,7.180339887498968232e-02,2.090169943749488279e+00
3.941818147274323447e+00,8.799999999999999489e-02,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,3.590169943749484283e+00
3.956392308174641048e+00,8.799999999999999489e-02,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.956392308174641048e+00,8.799999999999999489e-02,6.400000000000000133e-02,1.000000000000000021e-02,2.000000000000000000e+00,1.000000000000000000e+02
3.976392308174641066e+00,8.813999999999999613e-02,6.400000000000000133e-02,1.000000000000000021e-02,7.000000000000061728e-03,1.000006124981242266e+02
3.996392308174641084e+00,8.855999999999999983e-02,6.400000000000000133e-02,1.000000000000000021e-02,2.100000000000018519e-02,7.000000000000061728e-01
4.016392308174641101e+00,8.925999999999999213e-02,6.400000000000000133e-02,1.000000000000000021e-02,3.499999999999961475e-02,6.999999999999714229e-01
4.036392308174640675e+00,9.024000000000000077e-02,6.400000000000000133e-02,1.000000000000000021e-02,4.900000000000043210e-02,7.000000000000408118e-01
4.056392308174641137e+00,9.149999999999999800e-02,6.400000000000000133e-02,1.000000000000000021e-02,6.299999999999986167e-02,6.999999999999714229e-01
4.076392308174640711e+00,9.303999999999999770e-02,6.400000000000000133e-02,1.000000000000000021e-02,7.699999999999998512e-02,7.000000000000061728e-01
4.096392308174641173e+00,9.485999999999999988e-02,6.400000000000000133e-02,1.000000000000000021e-02,9.100000000000010858e-02,7.000000000000061728e-01
4.116392308174640746e+00,9.695999999999999064e-02,6.400000000000000133e-02,1.000000000000000021e-02,1.049999999999995381e-01,6.999999999999714229e-01
4.136392308174641208e+00,8.899999999999999578e-02,6.400000000000000133e-02,1.000000000000000021e-02,3.979999999999997429e-01,2.514999999999995950e+01
4.156392308174640782e+00,8.899999999999999578e-02,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,1.989999999999998792e+01
4.176392308174641244e+00,8.899999999999999578e-02,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.196392308174640817e+00,8.899999999999999578e-02,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.216392308174641279e+00,8.899999999999999578e-02,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.236392308174640853e+00,8.899999999999999578e-02,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.256392308174641315e+00,8.899999999999999578e-02,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.276392308174640888e+00,8.899999999999999578e-02,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.285894096593806601e+00,8.899999999999999578e-02,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.305894096593806175e+00,8.899999999999999578e-02,6.400000000000000133e-02,5.000000000000000278e-02,2.000000000000000000e+00,1.000000000000000000e+02
4.325894096593805749e+00,8.918306300648454199e-02,6.391945227714679323e-02,5.000000000000000278e-02,9.999999999999778164e-03,1.000012499921875957e+02
4.345894096593806211e+00,8.973225202593820837e-02,6.367780910858718280e-02,5.000000000000000278e-02,3.000000000000032502e-02,1.000000000000027311e+00
4.365894096593805784e+00,9.064756705836096717e-02,6.327507049432117003e-02,5.000000000000000278e-02,4.999999999999960726e-02,9.999999999999639178e-01
4.385894096593806246e+00,9.192900810375284615e-02,6.271123643434874106e-02,5.000000000000000278e-02,7.000000000000043687e-02,1.000000000000041300e+00
4.405894096593805820e+00,9.357657516211381754e-02,6.198630692866991670e-02,5.000000000000000278e-02,8.999999999999958034e-02,9.999999999999569233e-01
4.425894096593806282e+00,9.559026823344390911e-02,6.110028197728468308e-02,5.000000000000000278e-02,1.100000000000002642e-01,1.000000000000034417e+00
4.445894096593805855e+00,9.797008731774309309e-02,6.005316158019303324e-02,5.000000000000000278e-02,1.299999999999998102e-01,9.999999999999779066e-01
4.465894096593806317e+00,1.007160324150113972e-01,5.884494573739498802e-02,5.000000000000000278e-02,1.500000000000002165e-01,1.000000000000020428e+00
4.485894096593805891e+00,1.140000000000000041e-01,5.299999999999999850e-02,5.000000000000000278e-02,7.256500283747667757e-01,2.878250141873832391e+01
4.505894096593806353e+00,1.140000000000000041e-01,5.299999999999999850e-02,5.000000000000000278e-02,0.000000000000000000e+00,3.628250141873834167e+01
4.525894096593805926e+00,1.140000000000000041e-01,5.299999999999999850e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.545894096593806388e+00,1.140000000000000041e-01,5.299999999999999850e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.565894096593805962e+00,1.140000000000000041e-01,5.299999999999999850e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.585894096593806424e+00,1.140000000000000041e-01,5.299999999999999850e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.605894096593805997e+00,1.140000000000000041e-01,5.299999999999999850e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.625894096593806459e+00,1.140000000000000041e-01,5.299999999999999850e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.636427003079652387e+00,1.140000000000000041e-01,5.299999999999999850e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.636427003079652387e+00,1.140000000000000041e-01,5.299999999999999850e-02,1.000000000000000021e-02,2.000000000000000000e+00,1.000000000000000000e+02
4.656427003079651961e+00,1.140000000000000041e-01,5.285999999999999727e-02,1.000000000000000021e-02,7.000000000000061728e-03,1.000006124981242266e+02
4.676427003079652422e+00,1.140000000000000041e-01,5.244000000000000050e-02,1.000000000000000021e-02,2.099999999999983824e-02,6.999999999999888534e-01
4.696427003079651996e+00,1.138161522368914963e-01,5.181615223689149674e-02,1.000000000000000021e-02,3.251868814756699727e-02,6.862666688519485358e-01
4.716427003079652458e+00,1.131231875913286805e-01,5.112318759132868096e-02,1.000000000000000021e-02,4.899999999999994638e-02,1.284467651013925016e+00
4.736427003079652032e+00,1.119142135623730910e-01,5.100000000000000366e-02,1.000000000000000021e-02,6.076169404621779846e-02,1.921769326820213841e+00
4.756427003079652494e+00,1.110000000000000014e-01,5.037421356237309356e-02,1.000000000000000021e-02,5.539393250042538852e-02,1.456642828905407194e+00
4.776427003079652067e+00,1.110000000000000014e-01,4.855421356237309138e-02,1.000000000000000021e-02,9.100000000000010858e-02,3.759930576306168337e+00
4.796427003079652529e+00,1.110000000000000014e-01,4.645421356237310062e-02,1.000000000000000021e-02,1.049999999999995381e-01,6.999999999999714229e-01
4.816427003079652103e+00,1.116546298679765153e-01,4.434537013202347749e-02,1.000000000000000021e-02,1.104056257372752065e-01,1.636723996103376155e+00
4.836427003079652565e+00,1.140000000000000041e-01,5.200000000000000455e-02,1.000000000000000021e-02,4.002940152934659213e-01,2.477196165622503443e+01
4.856427003079652138e+00,1.140000000000000041e-01,5.200000000000000455e-02,1.000000000000000021e-02,0.000000000000000000e+00,2.001470076467329662e+01
4.876427003079652600e+00,1.140000000000000041e-01,5.200000000000000455e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.896427003079652174e+00,1.140000000000000041e-01,5.200000000000000455e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.916427003079652636e+00,1.140000000000000041e-01,5.200000000000000455e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.936427003079652209e+00,1.140000000000000041e-01,5.200000000000000455e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.956427003079652671e+00,1.140000000000000041e-01,5.200000000000000455e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.976427003079652245e+00,1.140000000000000041e-01,5.200000000000000455e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.996427003079652707e+00,1.140000000000000041e-01,5.200000000000000455e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.002762379275825566e+00,1.140000000000000041e-01,5.200000000000000455e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.022762379275825140e+00,1.140000000000000041e-01,5.200000000000000455e-02,5.000000000000000278e-02,2.000000000000000000e+00,1.000000000000000000e+02
5.042762379275824713e+00,1.138648550742965282e-01,5.214743082804015190e-02,5.000000000000000278e-02,1.000000000000019103e-02,1.000012499921875957e+02
5.062762379275825175e+00,1.134594202971861282e-01,5.258972331216060087e-02,5.000000000000000278e-02,2.999999999999988787e-02,9.999999999999849010e-01
5.082762379275824749e+00,1.127836956686687764e-01,5.332687745236133758e-02,5.000000000000000278e-02,5.000000000000001665e-02,1.000000000000006217e+00
5.102762379275825211e+00,1.118376811887445005e-01,5.435889324864237593e-02,5.000000000000000278e-02,6.999999999999971523e-02,9.999999999999849010e-01
5.122762379275824784e+00,1.106213768574132728e-01,5.568577070100371590e-02,5.000000000000000278e-02,9.000000000000034361e-02,1.000000000000031752e+00
5.142762379275825246e+00,1.091347826746751071e-01,5.730750980944534362e-02,5.000000000000000278e-02,1.100000000000000006e-01,9.999999999999826805e-01
5.162762379275824820e+00,1.030000000000000082e-01,6.400000000000000133e-02,5.000000000000000278e-02,4.539410298049849080e-01,1.719705149024924395e+01
5.182762379275825282e+00,1.030000000000000082e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,2.269705149024924395e+01
5.202762379275824856e+00,1.030000000000000082e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.222762379275825317e+00,1.030000000000000082e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.242762379275824891e+00,1.030000000000000082e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.262762379275825353e+00,1.030000000000000082e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.277939342155312019e+00,1.030000000000000082e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.277939342155312019e+00,1.030000000000000082e-01,6.400000000000000133e-02,1.000000000000000021e-02,2.000000000000000000e+00,1.000000000000000000e+02
5.297939342155311593e+00,1.031400000000000095e-01,6.400000000000000133e-02,1.000000000000000021e-02,7.000000000000061728e-03,1.000006124981242266e+02
5.317939342155312055e+00,1.035600000000000132e-01,6.400000000000000133e-02,1.000000000000000021e-02,2.100000000000018519e-02,7.000000000000061728e-01
5.337939342155311628e+00,1.042600000000000054e-01,6.400000000000000133e-02,1.000000000000000021e-02,3.499999999999961475e-02,6.999999999999714229e-01
5.357939342155312090e+00,1.052400000000000141e-01,6.400000000000000133e-02,1.000000000000000021e-02,4.900000000000043210e-02,7.000000000000408118e-01
5.377939342155311664e+00,1.065000000000000113e-01,6.400000000000000133e-02,1.000000000000000021e-02,6.299999999999986167e-02,6.999999999999714229e-01
5.397939342155312126e+00,1.080400000000000110e-01,6.400000000000000133e-02,1.000000000000000021e-02,7.699999999999998512e-02,7.000000000000061728e-01
5.417939342155311699e+00,1.098600000000000132e-01,6.400000000000000133e-02,1.000000000000000021e-02,9.100000000000010858e-02,7.000000000000061728e-01
5.437939342155312161e+00,1.119600000000000040e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.049999999999995381e-01,6.999999999999714229e-01
5.457939342155311735e+00,1.143400000000000111e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.190000000000003555e-01,7.000000000000408118e-01
5.477939342155312197e+00,1.165857864376269176e-01,6.300000000000000044e-02,1.000000000000000021e-02,1.229182322056918547e-01,2.522416104061837583e+00
5.497939342155311770e+00,1.190788939366884541e-01,6.192110606331155398e-02,1.000000000000000021e-02,1.358270695452489796e-01,6.489990402311492934e-01
5.517939342155312232e+00,1.209999999999999964e-01,5.949685424949237300e-02,1.000000000000000021e-02,1.546580531632442967e-01,3.654768682880090491e+00
5.537939342155311806e+00,1.209977756184841269e-01,5.599777561848413854e-02,1.000000000000000021e-02,1.749539669016652310e-01,5.508205632819979769e+00
5.557939342155312268e+00,1.199999999999999956e-01,5.263106781186546734e-02,1.000000000000000021e-02,1.755724753484191047e-01,2.510782124879876065e+00
5.577939342155311842e+00,1.219999999999999973e-01,4.939949493661166535e-02,1.000000000000000021e-02,1.900201518791897193e-01,7.502049765086253430e+00
5.597939342155312303e+00,1.213349624919378283e-01,4.533496249193783023e-02,1.000000000000000021e-02,2.059289858236074133e-01,6.980439887493942841e+00
5.617939342155311877e+00,1.180681291628559726e-01,4.206812916285597448e-02,1.000000000000000021e-02,2.310000000000004272e-01,6.803338047096683994e+00
5.637939342155312339e+00,1.136105627484771396e-01,4.100000000000000172e-02,1.000000000000000021e-02,2.291876864446559248e-01,6.251072553470280901e+00
5.657939342155311913e+00,1.088447763108502386e-01,4.200000000000000261e-02,1.000000000000000021e-02,2.434785430436761655e-01,5.227426360664006566e+00
5.677939342155312374e+00,1.035649711574555959e-01,4.243502884254441582e-02,1.000000000000000021e-02,2.648848455067699392e-01,1.909528163114229127e+00
5.697939342155311948e+00,1.049999999999999961e-01,4.652679656440358164e-02,1.000000000000000021e-02,2.168056207100202970e-01,1.911490498676863581e+01
5.717939342155312410e+00,1.049999999999999961e-01,5.254679656440356533e-02,1.000000000000000021e-02,3.009999999999991571e-01,6.009049164280510169e+00
5.737939342155311984e+00,1.049999999999999961e-01,5.884679656440357925e-02,1.000000000000000021e-02,3.150000000000006684e-01,7.000000000000755618e-01
5.757939342155312445e+00,1.049999999999999961e-01,5.292444989141450312e-02,1.000000000000000021e-02,2.961173336494538066e-01,3.055586668247272186e+01
5.777939342155312019e+00,1.049999999999999961e-01,4.648130528174126974e-02,1.000000000000000021e-02,3.221572304836616829e-01,1.301994841710393702e+00
5.797939342155311593e+00,1.032676257655588958e-01,4.200000000000000261e-02,1.000000000000000021e-02,2.402249857754057694e-01,6.543094660009866281e+00
5.817939342155312055e+00,1.091507703752321312e-01,4.200000000000000261e-02,1.000000000000000021e-02,2.941572304836617691e-01,2.209047083773096176e+01
5.837939342155312517e+00,1.142402051794512846e-01,4.124020517945128916e-02,1.000000000000000021e-02,2.572918323408746599e-01,2.746888494968681371e+00
5.857939342155312090e+00,1.188829164866282012e-01,4.288291648662820310e-02,1.000000000000000021e-02,2.462380388999396708e-01,6.109213112468348861e+00
5.877939342155311664e+00,1.219999999999999973e-01,4.604913639238637779e-02,1.000000000000000021e-02,2.221551154089950741e-01,5.390163851395032069e+00
5.897939342155312126e+00,1.219999999999999973e-01,5.081228100205963105e-02,1.000000000000000021e-02,2.381572304836626630e-01,8.755847381646065131e+00
5.917939342155311699e+00,1.203302177969521325e-01,5.433021779695212938e-02,1.000000000000000021e-02,1.947052381066947946e-01,5.207395646821957769e+00
5.937939342155312161e+00,1.209999999999999964e-01,5.825592953428682802e-02,1.000000000000000021e-02,1.991219528590900123e-01,5.937087887778927708e+00
5.957939342155311735e+00,1.201662686772841243e-01,6.183373132271587080e-02,1.000000000000000021e-02,1.836829711470528148e-01,3.858103691178832229e+00
5.977939342155312197e+00,1.170062083711129047e-01,6.300000000000000044e-02,1.000000000000000021e-02,1.684203355169218985e-01,8.376790288280414387e+00
5.997939342155311770e+00,1.140572773238127807e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.556935637858113952e-01,6.718483692269774377e-01
6.017939342155312232e+00,1.109741327141395145e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.541572304836633100e-01,2.522416104061851794e+00
6.037939342155311806e+00,1.081709881044662785e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.401572304836617988e-01,7.000000000000755618e-01
6.057939342155312268e+00,1.056478434947930450e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.261572304836616754e-01,7.000000000000061728e-01
6.077939342155311842e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,8.239217473965179672e-02,2.188252787200493987e+00
6.097939342155312303e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,4.119608736982590003e+00
6.117939342155311877e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.137939342155312339e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.157939342155311913e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.177939342155312374e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.197939342155311948e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.217939342155312410e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.228163957131971351e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.248163957131970925e+00,1.040000000000000091e-01,6.400000000000000133e-02,5.000000000000000278e-02,2.000000000000000000e+00,1.000000000000000000e+02
6.268163957131970498e+00,1.042000000000000148e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.000000000000028644e-02,1.000012499921875957e+02
6.288163957131970960e+00,1.048000000000000043e-01,6.400000000000000133e-02,5.000000000000000278e-02,2.999999999999947153e-02,9.999999999999592548e-01
6.308163957131970534e+00,1.058000000000000052e-01,6.400000000000000133e-02,5.000000000000000278e-02,5.000000000000004441e-02,1.000000000000028644e+00
6.328163957131970996e+00,1.072000000000000036e-01,6.400000000000000133e-02,5.000000000000000278e-02,6.999999999999992339e-02,9.999999999999938938e-01
6.348163957131970569e+00,1.090000000000000135e-01,6.400000000000000133e-02,5.000000000000000278e-02,9.000000000000049627e-02,1.000000000000028644e+00
6.368163957131971031e+00,1.112000000000000072e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.099999999999996814e-01,9.999999999999592548e-01
6.388163957131970605e+00,1.138000000000000123e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.300000000000002542e-01,1.000000000000028644e+00
6.408163957131971067e+00,1.168000000000000149e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.500000000000001332e-01,9.999999999999938938e-01
6.428163957131970641e+00,1.350000000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,9.099999999999996980e-01,3.799999999999997868e+01
6.448163957131971102e+00,1.350000000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,4.549999999999998579e+01
6.468163957131970676e+00,1.350000000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.488163957131971138e+00,1.350000000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.508163957131970712e+00,1.350000000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.528163957131971173e+00,1.350000000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.548163957131970747e+00,1.350000000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.568163957131971209e+00,1.350000000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.588163957131970783e+00,1.350000000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.600300294365150755e+00,1.350000000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.600300294365150755e+00,1.350000000000000089e-01,6.400000000000000133e-02,1.000000000000000021e-02,2.000000000000000000e+00,1.000000000000000000e+02
6.620300294365150329e+00,1.349010050506339042e-01,6.390100505063388281e-02,1.000000000000000021e-02,6.999999999999641925e-03,1.000006124981242266e+02
6.640300294365150791e+00,1.346040202025355348e-01,6.360402020253554112e-02,1.000000000000000021e-02,2.100000000000039682e-02,7.000000000000377032e-01
6.660300294365150364e+00,1.341090454557049561e-01,6.310904545570494850e-02,1.000000000000000021e-02,3.500000000000016986e-02,6.999999999999887423e-01
