t,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
1.461571,-0.247547,0.092379,0.000000,0.000000,3.141593,0.000000,-0.027832,-0.005576,0.000000,0.096639,0.086004,0.000000
1.481592,-0.248085,0.092285,0.000000,0.000000,3.141593,0.000000,-0.025939,-0.003731,0.000000,0.092428,0.098314,0.000000
1.501614,-0.248586,0.092231,0.000000,0.000000,3.141593,0.000000,-0.024131,-0.001639,0.000000,0.088217,0.110625,0.000000
1.521635,-0.249052,0.092221,0.000000,0.000000,3.141593,0.000000,-0.022407,0.000699,0.000000,0.084007,0.122936,0.000000
1.541657,-0.249484,0.092261,0.000000,0.000000,3.141593,0.000000,-0.020767,0.003283,0.000000,0.079796,0.135247,0.000000
1.561678,-0.249884,0.092354,0.000000,0.000000,3.141593,0.000000,-0.019212,0.006114,0.000000,0.075585,0.147558,0.000000
1.581700,-0.250254,0.092507,0.000000,0.000000,3.141593,0.000000,-0.017740,0.009192,0.000000,0.071375,0.159868,0.000000
1.601721,-0.250595,0.092724,0.000000,0.000000,3.141593,0.000000,-0.016353,0.012516,0.000000,0.067164,0.172179,0.000000
1.621743,-0.250909,0.093010,0.000000,0.000000,3.141593,0.000000,-0.015051,0.016087,0.000000,0.062953,0.184490,0.000000
1.641764,-0.251198,0.093370,0.000000,0.000000,3.141593,0.000000,-0.013833,0.019904,0.000000,0.058743,0.196801,0.000000
1.661786,-0.251464,0.093809,0.000000,0.000000,3.141593,0.000000,-0.012699,0.023967,0.000000,0.054532,0.209111,0.000000
1.681807,-0.251707,0.094331,0.000000,0.000000,3.141593,0.000000,-0.011649,0.028277,0.000000,0.050321,0.221422,0.000000
1.701829,-0.251931,0.094942,0.000000,0.000000,3.141593,0.000000,-0.010684,0.032833,0.000000,0.046111,0.233733,0.000000
1.721850,-0.252136,0.095648,0.000000,0.000000,3.141593,0.000000,-0.009803,0.037636,0.000000,0.041900,0.246044,0.000000
1.741872,-0.252324,0.096451,0.000000,0.000000,3.141593,0.000000,-0.009006,0.042686,0.000000,0.037689,0.258355,0.000000
