x,y,z
4.370967741935484208e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.379032258064516347e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.387096774193548487e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.395161290322581182e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.403225806451613322e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.411290322580645462e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.419354838709678157e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.427419354838710297e-01,-2.000000000000000389e-01,0.000000000000000000e+00
4.435483870967742437e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.443548387096774577e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.451612903225806717e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.459677419354839412e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.467741935483871552e-01,-2.000000000000000389e-01,0.000000000000000000e+00
4.475806451612903691e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.483870967741935276e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.491935483870967971e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.500000000000000666e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.508064516129032806e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.516129032258064946e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.524193548387096531e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.532258064516129226e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.540322580645161921e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.548387096774194061e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.556451612903226200e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.564516129032257785e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.572580645161290480e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.580645161290322620e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.588709677419354760e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.596774193548387455e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.604838709677419040e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.612903225806451735e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.620967741935483875e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.629032258064516014e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.637096774193548709e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.645161290322580849e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.653225806451612989e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.661290322580645684e-01,-2.000000000000000111e-01,0.000000000000000000e+00
