x,y,z,velocity,acceleration
0.42133333333333334,0.22133333333333333,0.0,0.05,0.1
0.4226666666666667,0.22,0.0,0.05,0.1
0.4226666666666667,0.21733333333333332,0.0,0.05,0.1
0.42400000000000004,0.216,0.0,0.05,0.1
0.42400000000000004,0.21466666666666667,0.0,0.05,0.1
0.4266666666666667,0.212,0.0,0.05,0.1
0.428,0.212,0.0,0.05,0.1
0.42933333333333334,0.21066666666666667,0.0,0.05,0.1
0.43333333333333335,0.21066666666666667,0.0,0.05,0.1
0.4346666666666667,0.20933333333333332,0.0,0.05,0.1
0.436,0.21066666666666667,0.0,0.05,0.1
0.44,0.21066666666666667,0.0,0.05,0.1
0.44133333333333336,0.212,0.0,0.05,0.1
0.4426666666666667,0.212,0.0,0.05,0.1
0.444,0.21333333333333332,0.0,0.05,0.1
0.44533333333333336,0.21333333333333332,0.0,0.05,0.1
0.44933333333333336,0.21733333333333332,0.0,0.05,0.1
0.44933333333333336,0.21866666666666668,0.0,0.05,0.1
0.452,0.22133333333333333,0.0,0.05,0.1
0.452,0.22266666666666668,0.0,0.05,0.1
0.45333333333333337,0.224,0.0,0.05,0.1
0.45333333333333337,0.22533333333333333,0.0,0.05,0.1
0.4546666666666667,0.22666666666666666,0.0,0.05,0.1
0.4546666666666667,0.22933333333333333,0.0,0.05,0.1
0.456,0.23066666666666666,0.0,0.05,0.1
0.456,0.23466666666666666,0.0,0.05,0.1
0.45733333333333337,0.23600000000000002,0.0,0.05,0.1
0.45733333333333337,0.23866666666666667,0.0,0.05,0.1
0.456,0.24000000000000002,0.0,0.05,0.1
0.45733333333333337,0.24133333333333334,0.0,0.05,0.1
0.45733333333333337,0.24533333333333335,0.0,0.05,0.1
0.456,0.24666666666666667,0.0,0.05,0.1
0.456,0.25066666666666665,0.0,0.05,0.1
0.4546666666666667,0.252,0.0,0.05,0.1
0.4546666666666667,0.25466666666666665,0.0,0.05,0.1
0.45333333333333337,0.256,0.0,0.05,0.1
0.45333333333333337,0.2573333333333333,0.0,0.05,0.1
0.452,0.25866666666666666,0.0,0.05,0.1
0.4506666666666667,0.25866666666666666,0.0,0.05,0.1
0.44933333333333336,0.26,0.0,0.05,0.1
